date,1. open,2. high,3. low,4. close,5. volume
2026-01-14,259.49,261.82,256.71,259.96,40019421.0
2026-01-13,258.72,261.81,258.39,261.05,45730847.0
2026-01-12,259.16,261.3,256.8,260.25,45263767.0
2026-01-09,259.075,260.21,256.22,259.37,39996967.0
2026-01-08,257.02,259.29,255.7,259.04,50419337.0
2026-01-07,263.2,263.68,259.81,260.33,48309804.0
2026-01-06,267.0,267.55,262.12,262.36,52352090.0
2026-01-05,270.64,271.51,266.14,267.26,45647190.0
2026-01-02,272.255,277.84,269.0,271.01,37838054.0
2025-12-31,273.06,273.68,271.75,271.86,27293639.0
2025-12-30,272.81,274.08,272.28,273.08,22139617.0
2025-12-29,272.69,274.36,272.35,273.76,23715213.0
2025-12-26,274.16,275.37,272.86,273.4,21521802.0
2025-12-24,272.34,275.43,272.195,273.81,17910574.0
2025-12-23,270.84,272.5,269.56,272.36,29641999.0
2025-12-22,272.86,273.88,270.505,270.97,36571827.0
2025-12-19,272.145,274.6,269.9,273.67,144632048.0
2025-12-18,273.605,273.63,266.95,272.19,51630721.0
2025-12-17,275.01,276.16,271.64,271.84,50138743.0
2025-12-16,272.82,275.5,271.79,274.61,37648628.0
2025-12-15,280.15,280.15,272.84,274.11,50409078.0
2025-12-12,277.9,279.22,276.82,278.28,39532887.0
2025-12-11,279.095,279.59,273.81,278.03,33247986.0
2025-12-10,277.75,279.75,276.44,278.78,33038318.0
2025-12-09,278.16,280.03,276.92,277.18,31753410.0
2025-12-08,278.13,279.6693,276.15,277.89,36406317.0
2025-12-05,280.54,281.14,278.05,278.78,47265845.0
2025-12-04,284.095,284.73,278.59,280.7,43989056.0
2025-12-03,286.2,288.62,283.3,284.15,43538687.0
2025-12-02,283.0,287.4,282.6301,286.19,53669532.0
2025-12-01,278.01,283.42,276.14,283.1,46587722.0
2025-11-28,277.26,279.0,275.9865,278.85,20135620.0
2025-11-26,276.96,279.53,276.63,277.55,33431423.0
2025-11-25,275.27,280.38,275.25,276.97,46914220.0
2025-11-24,270.9,277.0,270.9,275.92,65585796.0
2025-11-21,265.95,273.33,265.67,271.49,59030832.0
2025-11-20,270.83,275.43,265.92,266.25,45823568.0
2025-11-19,265.525,272.21,265.5,268.56,40424492.0
2025-11-18,269.99,270.71,265.32,267.44,45677278.0
2025-11-17,268.815,270.49,265.73,267.46,45018260.0
2025-11-14,271.05,275.96,269.6,272.41,47431331.0
